INFO 2025-01-10 21:45:50,171 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-10 21:45:50,317 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\db\models\indexes.py first seen with mtime 1736137674.2793136
DEBUG 2025-01-10 21:45:50,317 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\views\generic\base.py first seen with mtime 1736137674.3907533
DEBUG 2025-01-10 21:45:50,318 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\forms\widgets.py first seen with mtime 1736137674.3013413
DEBUG 2025-01-10 21:45:50,318 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\VLJudge\VLJudge\urls.py first seen with mtime 1736517359.5594184
DEBUG 2025-01-10 21:45:50,318 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\contrib\messages\apps.py first seen with mtime 1736137673.661773
DEBUG 2025-01-10 21:45:50,318 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\contrib\sessions\apps.py first seen with mtime 1736137673.9163446
DEBUG 2025-01-10 21:45:50,318 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\urllib\response.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,318 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\asyncio\timeouts.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,319 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1736137674.2479472
DEBUG 2025-01-10 21:45:50,319 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\views\decorators\common.py first seen with mtime 1736137674.387753
DEBUG 2025-01-10 21:45:50,319 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1736137674.3917532
DEBUG 2025-01-10 21:45:50,319 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\typing.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,319 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\email\mime\nonmultipart.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,319 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1736137674.3517
DEBUG 2025-01-10 21:45:50,319 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\contextvars.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,319 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\types.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,320 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\db\__init__.py first seen with mtime 1736137674.2414372
DEBUG 2025-01-10 21:45:50,320 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\graphlib.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,320 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\conf\__init__.py first seen with mtime 1736137672.1578565
DEBUG 2025-01-10 21:45:50,320 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1736137674.3772385
DEBUG 2025-01-10 21:45:50,320 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1736137674.2023263
DEBUG 2025-01-10 21:45:50,320 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1736137674.293828
DEBUG 2025-01-10 21:45:50,320 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\middleware\__init__.py first seen with mtime 1736137674.3421848
DEBUG 2025-01-10 21:45:50,320 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1736137671.73592
DEBUG 2025-01-10 21:45:50,321 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\core\signing.py first seen with mtime 1736137674.1960843
DEBUG 2025-01-10 21:45:50,321 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\mimetypes.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,321 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\locale.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,321 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1736137674.366727
DEBUG 2025-01-10 21:45:50,321 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1736137671.7334108
DEBUG 2025-01-10 21:45:50,321 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\contrib\admin\__init__.py first seen with mtime 1736137672.409156
DEBUG 2025-01-10 21:45:50,321 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1736137673.917346
DEBUG 2025-01-10 21:45:50,321 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1736137674.2741158
DEBUG 2025-01-10 21:45:50,322 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\contrib\sites\shortcuts.py first seen with mtime 1736137674.0359993
DEBUG 2025-01-10 21:45:50,322 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1736137674.197327
DEBUG 2025-01-10 21:45:50,322 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\wsgiref\__init__.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,322 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1736137674.2329226
DEBUG 2025-01-10 21:45:50,322 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1736137673.0844045
DEBUG 2025-01-10 21:45:50,322 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\MySQLdb\release.py first seen with mtime 1736137730.230024
DEBUG 2025-01-10 21:45:50,322 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\asyncio\futures.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,323 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\selectors.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,323 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\ipaddress.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,323 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\importlib\__init__.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,323 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\asyncio\tasks.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,323 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1736137674.2133603
DEBUG 2025-01-10 21:45:50,324 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1736137674.209853
DEBUG 2025-01-10 21:45:50,324 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\db\models\expressions.py first seen with mtime 1736137674.2793136
DEBUG 2025-01-10 21:45:50,324 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\http\__init__.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,324 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\email\message.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,324 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\json\encoder.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,325 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\textwrap.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,325 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\utils\encoding.py first seen with mtime 1736137674.3717282
DEBUG 2025-01-10 21:45:50,325 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\__future__.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,325 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\email\errors.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,325 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\MySQLdb\constants\FIELD_TYPE.py first seen with mtime 1736137730.2320228
DEBUG 2025-01-10 21:45:50,326 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1736137674.2143655
DEBUG 2025-01-10 21:45:50,326 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1736137672.902398
DEBUG 2025-01-10 21:45:50,326 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1736137674.3772385
DEBUG 2025-01-10 21:45:50,326 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\db\backends\mysql\base.py first seen with mtime 1736137674.2499475
